date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),0.5m 지중온도(°C),최대 풍속(m/s),합계 일사량(MJ/m2),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201103,8.345161290322581,25.258064516129032,3.6161290322580646,51.11290322580646,2.085714285714286,3.4064516129032265,7.7483870967741915,5.158064516129032,6.87741935483871,16.34225806451613,64869,0,1,0,0,0,1,0,0
201104,15.596666666666666,28.66666666666667,10.719999999999997,54.24,10.009090909090908,3.243333333333333,6.7366666666666655,10.736666666666666,6.650000000000001,16.832333333333334,85548,0,1,0,0,0,1,0,0
201105,22.98387096774193,32.16129032258065,17.925806451612907,56.41612903225806,4.107692307692306,2.832258064516129,5.819354838709677,16.303225806451618,6.23548387096774,17.091935483870962,103100,0,0,1,0,0,0,1,0
201203,9.52258064516129,28.41935483870968,5.090322580645162,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,5.300000000000002,6.532258064516128,11.855161290322581,40244,0,1,0,0,0,1,0,0
201204,17.886666666666674,30.13333333333333,12.34,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,11.396666666666668,6.94,14.949333333333328,66246,0,1,0,0,0,1,0,0
201205,25.1483870967742,26.838709677419356,19.73225806451613,48.23225806451613,0.82,2.6516129032258067,8.106451612903228,19.266666666666666,5.793548387096774,17.851612903225806,89515,0,0,1,0,0,0,1,0
201303,10.83548387096774,25.258064516129032,5.135483870967743,49.1741935483871,3.4125,3.032258064516129,8.267741935483869,5.129032258064517,6.1,14.300322580645163,77718,0,1,0,0,0,1,0,0
201304,14.98,28.36666666666667,10.006666666666666,53.97666666666667,4.78,3.4266666666666663,7.1066666666666665,10.133333333333333,6.920000000000003,14.995333333333333,96402,0,1,0,0,0,1,0,0
201305,23.58709677419355,35.87096774193548,18.22258064516129,57.783870967741926,12.0,2.9,7.6806451612903235,17.28387096774193,5.861290322580645,16.55483870967742,103001,0,0,1,0,0,0,1,0
201403,13.058064516129033,33.03225806451613,7.890322580645161,59.83548387096774,0.5538461538461539,3.0290322580645164,6.925806451612903,7.6870967741935505,6.441935483870967,12.646774193548383,144903,0,1,0,0,0,1,0,0
