date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),0.5m 지중온도(°C),최저 기온(°C),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201106,26.576666666666664,46.23333333333333,21.97666666666667,66.56,20.225,2.923333333333334,5.6933333333333325,21.73333333333333,18.383333333333333,28144,0,0,1,0,0,0,1,0
201107,27.996774193548394,62.41935483870968,24.638709677419357,78.78709677419354,49.17391304347826,2.419354838709677,2.593548387096774,24.899999999999995,21.974193548387085,25886,0,0,0,1,0,0,0,1
201108,29.451612903225808,56.29032258064516,25.77419354838709,74.33548387096774,8.34,2.52258064516129,3.032258064516129,26.29032258064516,22.967741935483875,33560,0,0,0,1,0,0,0,1
201206,29.71666666666666,33.0,24.139999999999993,54.08666666666666,15.316666666666668,2.8,7.733333333333332,24.61,19.956666666666667,16248,0,0,0,1,0,0,0,1
201207,29.02580645161291,55.935483870967744,25.41290322580645,73.83225806451615,21.37619047619048,2.729032258064516,4.645161290322581,25.63,22.387096774193548,12400,0,0,0,1,0,0,0,1
201208,30.851612903225806,51.0,27.13225806451612,67.95483870967742,25.827777777777786,2.967741935483871,5.119354838709677,27.516129032258053,23.91290322580645,12345,0,0,0,1,0,0,0,1
201306,29.236666666666668,39.7,24.41000000000001,60.10999999999998,2.83,2.2299999999999995,7.466666666666666,23.45000000000001,20.46,12628,0,0,0,1,0,0,0,1
201307,28.33548387096775,63.54838709677418,25.519354838709678,79.25483870967744,26.00769230769231,3.3516129032258064,3.258064516129032,25.52580645161289,23.42580645161291,9167,0,0,0,1,0,0,0,1
201308,31.08709677419354,48.935483870967744,27.69677419354839,69.33870967741936,9.906666666666666,2.7741935483870965,7.029032258064516,27.861290322580647,24.838709677419356,17067,0,0,0,1,0,0,0,1
201406,27.770000000000003,49.06666666666667,23.06333333333333,72.80666666666666,7.007142857142857,2.603333333333333,6.163333333333332,22.67333333333334,19.713333333333328,18263,0,0,0,1,0,0,0,1
201407,30.63548387096775,50.58064516129032,26.1483870967742,74.23548387096773,17.325,2.75483870967742,5.570967741935487,25.367741935483874,22.925806451612893,14736,0,0,0,1,0,0,0,1
201408,28.951612903225808,57.225806451612904,25.164516129032265,77.19354838709677,8.639999999999999,2.4483870967741943,4.861290322580646,25.88387096774194,22.116129032258065,20377,0,0,0,1,0,0,0,1
201506,29.46333333333333,35.4,23.586666666666666,59.80999999999998,8.25,2.546666666666667,8.603333333333332,23.21071428571429,18.926666666666673,6964,0,0,0,1,0,0,0,1
201507,30.02580645161289,50.38709677419354,25.83548387096775,71.15483870967742,14.125,2.841935483870968,5.680645161290323,25.3,22.612903225806452,15124,0,0,0,1,0,0,0,1
201508,30.78709677419355,45.96774193548386,26.26774193548387,69.7741935483871,4.288235294117648,2.396774193548388,6.677419354838711,26.177419354838705,22.809677419354838,17971,0,0,0,1,0,0,0,1
201606,28.680000000000003,41.1,23.59666666666667,62.86666666666665,4.533333333333334,2.13,7.656666666666667,23.15,19.463333333333328,15950,0,0,0,1,0,0,0,1
201607,29.822580645161292,54.064516129032256,26.235483870967744,72.86129032258064,17.057142857142857,2.148387096774193,5.174193548387096,25.229032258064517,23.28709677419355,12620,0,0,0,1,0,0,0,1
201608,32.635483870967754,41.67741935483871,27.99677419354839,63.883870967741935,4.19375,2.0580645161290323,7.616129032258066,27.729032258064517,24.451612903225804,12237,0,0,0,1,0,0,0,1
201706,28.75,33.46666666666667,23.27333333333333,56.60333333333333,5.123076923076923,2.373333333333333,9.506666666666666,23.20666666666667,18.70666666666667,55822,0,0,0,1,0,0,0,1
201707,30.393548387096768,59.67741935483871,26.92258064516129,77.1774193548387,27.0,2.0,3.9709677419354836,26.380645161290325,24.309677419354838,23562,0,0,0,1,0,0,0,1
201708,29.654838709677428,50.838709677419345,25.916129032258066,70.81935483870967,15.63157894736842,2.2548387096774194,5.361290322580646,26.70967741935484,22.893548387096768,14949,0,0,0,1,0,0,0,1
201806,28.37,39.53333333333333,23.13666666666667,63.03333333333331,14.291666666666664,1.6799999999999995,7.886666666666668,22.78333333333334,18.866666666666667,17364,0,0,0,1,0,0,0,1
201807,32.13225806451613,49.29032258064516,27.796774193548387,67.45161290322578,18.56,1.4612903225806453,7.616666666666667,26.093548387096767,24.21290322580645,9292,0,0,0,1,0,0,0,1
201808,33.303225806451614,45.161290322580655,28.761290322580656,64.71935483870966,12.6625,1.6903225806451612,7.5,28.416129032258066,25.203225806451613,32713,0,0,0,1,0,0,0,1
201906,27.706666666666663,38.63333333333333,22.50333333333333,60.60666666666666,5.285714285714287,1.7366666666666668,7.836666666666668,22.05,18.06,26297,0,0,1,0,0,0,1,0
201907,30.08709677419355,50.03225806451614,25.87741935483871,69.09354838709676,10.23157894736842,1.8290322580645169,4.841935483870966,25.01612903225807,22.683870967741928,15405,0,0,0,1,0,0,0,1
201908,31.635483870967736,44.645161290322584,27.190322580645162,68.51612903225805,12.7,1.5903225806451615,7.976666666666664,26.84193548387097,23.59032258064517,29250,0,0,0,1,0,0,0,1
