areaCode,areaNm,baseYmd,daywkDivCd,daywkDivNm,touDivCd,touDivNm,touNum
11,서울특별시,20210501,6,토요일,1,현지인(a),4105867.5
11,서울특별시,20210501,6,토요일,2,외지인(b),1400227.5
11,서울특별시,20210501,6,토요일,3,외국인(c),3463.4845950000013
26,부산광역시,20210501,6,토요일,1,현지인(a),1292966.5
26,부산광역시,20210501,6,토요일,2,외지인(b),390729.5
26,부산광역시,20210501,6,토요일,3,외국인(c),1978.523256
27,대구광역시,20210501,6,토요일,1,현지인(a),1113619.5
27,대구광역시,20210501,6,토요일,2,외지인(b),302956.5
27,대구광역시,20210501,6,토요일,3,외국인(c),256.84613019999995
28,인천광역시,20210501,6,토요일,1,현지인(a),1151685.5
28,인천광역시,20210501,6,토요일,2,외지인(b),450681.0
28,인천광역시,20210501,6,토요일,3,외국인(c),3018.917791
29,광주광역시,20210501,6,토요일,1,현지인(a),724654.0
29,광주광역시,20210501,6,토요일,2,외지인(b),181618.5
29,광주광역시,20210501,6,토요일,3,외국인(c),162.5753086
30,대전광역시,20210501,6,토요일,1,현지인(a),670929.0
30,대전광역시,20210501,6,토요일,2,외지인(b),233488.5
30,대전광역시,20210501,6,토요일,3,외국인(c),206.25651100000002
31,울산광역시,20210501,6,토요일,1,현지인(a),441066.5
31,울산광역시,20210501,6,토요일,2,외지인(b),120046.5
31,울산광역시,20210501,6,토요일,3,외국인(c),722.5341819
36,세종특별자치시,20210501,6,토요일,1,현지인(a),134263.5
36,세종특별자치시,20210501,6,토요일,2,외지인(b),79926.0
36,세종특별자치시,20210501,6,토요일,3,외국인(c),69.07202597
41,경기도,20210501,6,토요일,1,현지인(a),5594326.5
41,경기도,20210501,6,토요일,2,외지인(b),1715728.0
41,경기도,20210501,6,토요일,3,외국인(c),4921.305696
42,강원도,20210501,6,토요일,1,현지인(a),885839.5
42,강원도,20210501,6,토요일,2,외지인(b),481670.0
42,강원도,20210501,6,토요일,3,외국인(c),253.1407685
43,충청북도,20210501,6,토요일,1,현지인(a),699195.0
43,충청북도,20210501,6,토요일,2,외지인(b),340116.0
43,충청북도,20210501,6,토요일,3,외국인(c),299.53961969999995
44,충청남도,20210501,6,토요일,1,현지인(a),953596.0
44,충청남도,20210501,6,토요일,2,외지인(b),556108.0
44,충청남도,20210501,6,토요일,3,외국인(c),589.744833
45,전라북도,20210501,6,토요일,1,현지인(a),923576.5
45,전라북도,20210501,6,토요일,2,외지인(b),321867.0
45,전라북도,20210501,6,토요일,3,외국인(c),464.3406223
46,전라남도,20210501,6,토요일,1,현지인(a),848778.0
46,전라남도,20210501,6,토요일,2,외지인(b),409773.0
46,전라남도,20210501,6,토요일,3,외국인(c),1311.650843
47,경상북도,20210501,6,토요일,1,현지인(a),1256857.0
47,경상북도,20210501,6,토요일,2,외지인(b),576712.5
47,경상북도,20210501,6,토요일,3,외국인(c),1023.9940869999999
48,경상남도,20210501,6,토요일,1,현지인(a),1425963.0
48,경상남도,20210501,6,토요일,2,외지인(b),497637.0
48,경상남도,20210501,6,토요일,3,외국인(c),1607.950481
50,제주특별자치도,20210501,6,토요일,1,현지인(a),519771.0
50,제주특별자치도,20210501,6,토요일,2,외지인(b),165700.5
50,제주특별자치도,20210501,6,토요일,3,외국인(c),1901.5885719999999
11,서울특별시,20210502,7,일요일,1,현지인(a),4079169.5
11,서울특별시,20210502,7,일요일,2,외지인(b),1211213.5
11,서울특별시,20210502,7,일요일,3,외국인(c),3323.692794
26,부산광역시,20210502,7,일요일,1,현지인(a),1257070.5
26,부산광역시,20210502,7,일요일,2,외지인(b),358508.5
26,부산광역시,20210502,7,일요일,3,외국인(c),2039.394005
27,대구광역시,20210502,7,일요일,1,현지인(a),1084912.5
27,대구광역시,20210502,7,일요일,2,외지인(b),265405.0
27,대구광역시,20210502,7,일요일,3,외국인(c),210.4131256
28,인천광역시,20210502,7,일요일,1,현지인(a),1147181.0
28,인천광역시,20210502,7,일요일,2,외지인(b),437626.0
28,인천광역시,20210502,7,일요일,3,외국인(c),2955.837181
29,광주광역시,20210502,7,일요일,1,현지인(a),709072.0
29,광주광역시,20210502,7,일요일,2,외지인(b),151403.0
29,광주광역시,20210502,7,일요일,3,외국인(c),138.02022730000002
30,대전광역시,20210502,7,일요일,1,현지인(a),651812.0
30,대전광역시,20210502,7,일요일,2,외지인(b),203409.5
30,대전광역시,20210502,7,일요일,3,외국인(c),190.9120064
31,울산광역시,20210502,7,일요일,1,현지인(a),428473.5
31,울산광역시,20210502,7,일요일,2,외지인(b),114845.5
31,울산광역시,20210502,7,일요일,3,외국인(c),699.4268879
36,세종특별자치시,20210502,7,일요일,1,현지인(a),135397.5
36,세종특별자치시,20210502,7,일요일,2,외지인(b),77689.5
36,세종특별자치시,20210502,7,일요일,3,외국인(c),58.98210797
41,경기도,20210502,7,일요일,1,현지인(a),5614364.0
41,경기도,20210502,7,일요일,2,외지인(b),1723687.0
41,경기도,20210502,7,일요일,3,외국인(c),4945.147419
42,강원도,20210502,7,일요일,1,현지인(a),916279.0
42,강원도,20210502,7,일요일,2,외지인(b),493216.5
42,강원도,20210502,7,일요일,3,외국인(c),288.1625316
43,충청북도,20210502,7,일요일,1,현지인(a),706352.5
43,충청북도,20210502,7,일요일,2,외지인(b),330001.0
43,충청북도,20210502,7,일요일,3,외국인(c),279.7085479
44,충청남도,20210502,7,일요일,1,현지인(a),953134.0
44,충청남도,20210502,7,일요일,2,외지인(b),530099.5
44,충청남도,20210502,7,일요일,3,외국인(c),661.6701361
45,전라북도,20210502,7,일요일,1,현지인(a),922302.5
45,전라북도,20210502,7,일요일,2,외지인(b),306761.0
45,전라북도,20210502,7,일요일,3,외국인(c),466.5218462
46,전라남도,20210502,7,일요일,1,현지인(a),854738.5
46,전라남도,20210502,7,일요일,2,외지인(b),418334.0
46,전라남도,20210502,7,일요일,3,외국인(c),1126.907719
47,경상북도,20210502,7,일요일,1,현지인(a),1262943.5
47,경상북도,20210502,7,일요일,2,외지인(b),590380.0
47,경상북도,20210502,7,일요일,3,외국인(c),664.6870317
48,경상남도,20210502,7,일요일,1,현지인(a),1388702.0
48,경상남도,20210502,7,일요일,2,외지인(b),494777.5
48,경상남도,20210502,7,일요일,3,외국인(c),1720.471169
50,제주특별자치도,20210502,7,일요일,1,현지인(a),510842.5
50,제주특별자치도,20210502,7,일요일,2,외지인(b),168661.5
50,제주특별자치도,20210502,7,일요일,3,외국인(c),1435.228594
11,서울특별시,20210503,1,월요일,1,현지인(a),4736837.0
11,서울특별시,20210503,1,월요일,2,외지인(b),1099931.0
11,서울특별시,20210503,1,월요일,3,외국인(c),3482.089892
